"Country or Area","Year(s)","Variant","Value"
"Japan","2100","Medium","73644.064"
"Japan","2100","High","103552.269"
"Japan","2100","Low","50071.94"
"Japan","2100","Constant fertility","64999.334"
"Japan","2100","Instant replacement","114863.254"
"Japan","2100","Zero migration","62726.143"
"Japan","2100","Constant mortality","64779.671"
"Japan","2100","No change","56274.647"
"Japan","2100","Momentum","92392.632"
"Japan","2100","Instant replacement zero migration","101445.113"
"Japan","2100","Median PI","73644.065"
"Japan","2100","Upper 80 PI","87650.314"
"Japan","2100","Lower 80 PI","61148.898"
"Japan","2100","Upper 95 PI","95795.057"
"Japan","2100","Lower 95 PI","54234.39"
"Japan","2099","Medium","74051.908"
"Japan","2099","High","103360.038"
"Japan","2099","Low","50816.113"
"Japan","2099","Constant fertility","65576.42"
"Japan","2099","Instant replacement","114522.978"
"Japan","2099","Zero migration","63266.142"
"Japan","2099","Constant mortality","65231.82"
"Japan","2099","No change","56886.406"
"Japan","2099","Momentum","92347.851"
"Japan","2099","Instant replacement zero migration","101305.817"
"Japan","2099","Median PI","74051.908"
"Japan","2099","Upper 80 PI","87790.905"
"Japan","2099","Lower 80 PI","61746.603"
"Japan","2099","Upper 95 PI","95728.039"
"Japan","2099","Lower 95 PI","54945.104"
"Japan","2098","Medium","74465.689"
"Japan","2098","High","103179.045"
"Japan","2098","Low","51566.741"
"Japan","2098","Constant fertility","66158.679"
"Japan","2098","Instant replacement","114189.238"
"Japan","2098","Zero migration","63813.012"
"Japan","2098","Constant mortality","65693.698"
"Japan","2098","No change","57507.868"
"Japan","2098","Momentum","92306.633"
"Japan","2098","Instant replacement zero migration","101172.468"
"Japan","2098","Median PI","74465.69"
"Japan","2098","Upper 80 PI","88038.104"
"Japan","2098","Lower 80 PI","62379.69"
"Japan","2098","Upper 95 PI","95771.469"
"Japan","2098","Lower 95 PI","55627.186"
"Japan","2097","Medium","74884.753"
"Japan","2097","High","103009.757"
"Japan","2097","Low","52322.789"
"Japan","2097","Constant fertility","66745.163"
"Japan","2097","Instant replacement","113862.662"
"Japan","2097","Zero migration","64366.145"
"Japan","2097","Constant mortality","66165.417"
"Japan","2097","No change","58138.779"
"Japan","2097","Momentum","92270.92"
"Japan","2097","Instant replacement zero migration","101045.791"
"Japan","2097","Median PI","74884.753"
"Japan","2097","Upper 80 PI","88263.749"
"Japan","2097","Lower 80 PI","63025.504"
"Japan","2097","Upper 95 PI","95867.674"
"Japan","2097","Lower 95 PI","56325.912"
"Japan","2096","Medium","75310.678"
"Japan","2096","High","102855.796"
"Japan","2096","Low","53084.691"
"Japan","2096","Constant fertility","67335.564"
"Japan","2096","Instant replacement","113544.52"
"Japan","2096","Zero migration","64926.832"
"Japan","2096","Constant mortality","66648.597"
"Japan","2096","No change","58778.825"
"Japan","2096","Momentum","92242.537"
"Japan","2096","Instant replacement zero migration","100927.116"
"Japan","2096","Median PI","75310.678"
"Japan","2096","Upper 80 PI","88330.423"
"Japan","2096","Lower 80 PI","63635.997"
"Japan","2096","Upper 95 PI","95943.886"
"Japan","2096","Lower 95 PI","56966.048"
